episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
0,-7.000000000000006,200,800,1,0.25,91,0.91,9.666666666666666,0,0,0,0,0,127.0,143.0,124.0,140.0,145,166,157,146,186
1,-7.000000000000005,200,1600,1,0.25,82,0.82,5.0,0,0,0,0,0,146.0,143.0,158.0,147.0,170,175,163,113,179
2,-7.000000000000005,200,2400,1,0.25,61,0.61,2.5,0,0,0,0,0,133.0,128.0,155.0,135.0,209,171,171,88,161
3,-6.000000000000005,200,3200,2,0.5,83,0.83,4.666666666666667,0,0,0,0,0,139.0,162.0,166.0,168.0,197,175,181,132,115
4,-6.000000000000006,200,4000,2,0.5,71,0.71,6.333333333333333,0,0,0,0,0,135.0,148.0,139.0,162.0,185,167,199,119,130
5,-5.000000000000006,200,4800,3,0.75,89,0.89,8.333333333333334,0,0,0,0,0,146.0,149.0,152.0,127.0,185,161,139,172,143
6,-5.000000000000004,200,5600,3,0.75,73,0.73,0.5,0,0,0,0,0,117.0,134.0,116.0,150.0,201,141,87,148,223
7,-6.000000000000005,200,6400,2,0.5,72,0.72,7.666666666666667,0,0,0,0,0,131.0,132.0,152.0,130.0,178,161,130,130,201
8,-6.000000000000005,200,7200,2,0.5,70,0.7,9.166666666666666,0,0,0,0,0,80.0,119.0,93.0,137.0,221,130,112,120,217
9,-7.000000000000005,200,8000,1,0.25,59,0.59,11.0,0,0,0,0,0,103.0,125.0,109.0,118.0,196,148,151,144,161
10,-7.000000000000006,200,8800,1,0.25,65,0.65,4.666666666666667,0,0,0,0,0,125.0,109.0,107.0,71.0,266,145,99,109,181
11,-6.000000000000006,200,9600,2,0.5,72,0.72,5.5,0,0,0,0,0,107.0,113.0,108.0,103.0,270,125,72,126,207
12,-6.000000000000006,200,10400,2,0.5,64,0.64,2.5,0,0,0,0,0,119.0,149.0,124.0,126.0,203,141,87,136,233
13,-7.000000000000006,200,11200,1,0.25,74,0.74,3.8333333333333335,0,0,0,0,0,123.0,132.0,112.0,127.0,177,156,88,178,201
14,-5.000000000000005,200,12000,3,0.75,95,0.95,6.5,0,0,0,0,0,137.0,151.0,145.0,151.0,166,163,134,171,166
15,-5.000000000000006,200,12800,3,0.75,83,0.83,9.666666666666666,0,0,0,0,0,91.0,110.0,103.0,139.0,161,161,120,114,244
16,1.999999999999999,50,13000,4,1.0,62,0.62,8.0,1,0,0,0,0,39.0,40.0,33.0,44.0,31,46,33,32,58
17,-5.000000000000006,200,13800,3,0.75,97,0.97,3.6666666666666665,0,0,0,0,0,149.0,156.0,141.0,154.0,175,196,129,130,170
18,-5.000000000000006,200,14600,3,0.75,69,0.69,9.333333333333334,0,0,0,0,0,139.0,108.0,93.0,130.0,135,159,140,123,243
19,-5.000000000000005,200,15400,3,0.75,85,0.85,9.0,0,0,0,0,0,120.0,133.0,80.0,91.0,140,114,159,104,283
20,1.6399999999999995,59,15636,4,1.0,68,0.68,7.5,1,0,0,0,0,48.0,46.0,40.0,51.0,36,43,53,43,61
21,-0.960000000000002,124,16132,4,1.0,84,0.84,6.0,1,0,0,0,0,81.0,89.0,91.0,82.0,97,87,103,80,129
22,-1.5600000000000023,139,16688,4,1.0,77,0.77,5.166666666666667,1,0,0,0,0,90.0,106.0,117.0,94.0,127,93,99,109,128
23,-5.000000000000005,200,17488,3,0.75,86,0.86,5.333333333333333,0,0,0,0,0,154.0,156.0,153.0,128.0,167,196,116,133,188
24,-1.2400000000000033,131,18012,4,1.0,76,0.76,5.666666666666667,1,0,0,0,0,97.0,81.0,89.0,83.0,108,94,110,86,126
25,-6.000000000000006,200,18812,2,0.5,77,0.77,6.166666666666667,0,0,0,0,0,124.0,115.0,103.0,115.0,160,134,141,125,240
26,0.6799999999999992,83,19144,4,1.0,57,0.57,4.833333333333333,1,0,0,0,0,73.0,43.0,55.0,69.0,54,60,72,70,76
27,0.1599999999999988,96,19528,4,1.0,81,0.81,4.166666666666667,1,0,0,0,0,75.0,80.0,75.0,72.0,67,71,77,73,96
