episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
0,-5.000000000000006,200,800,3,0.75,96,0.96,6.833333333333333,0,0,0,0,0,151.0,161.0,141.0,140.0,174,161,161,181,123
1,-7.000000000000005,200,1600,1,0.25,77,0.77,5.666666666666667,0,0,0,0,0,160.0,149.0,161.0,159.0,158,150,160,200,132
2,-6.000000000000006,200,2400,2,0.5,79,0.79,2.1666666666666665,0,0,0,0,0,153.0,133.0,158.0,165.0,174,159,117,227,123
3,-5.000000000000004,200,3200,3,0.75,39,0.39,1.0,0,0,0,0,0,111.0,117.0,114.0,105.0,148,142,70,329,111
4,-8.000000000000005,200,4000,0,0.0,53,0.53,1.8333333333333333,0,0,0,0,0,132.0,129.0,129.0,107.0,158,158,68,300,116
5,-7.000000000000005,200,4800,1,0.25,37,0.37,4.5,0,0,0,0,0,83.0,87.0,81.0,67.0,112,108,37,398,145
6,-7.000000000000006,200,5600,1,0.25,39,0.39,1.6666666666666667,0,0,0,0,0,71.0,73.0,66.0,87.0,113,93,25,422,147
7,-7.000000000000005,200,6400,1,0.25,54,0.54,2.6666666666666665,0,0,0,0,0,48.0,80.0,74.0,84.0,85,68,41,429,177
8,-8.000000000000005,200,7200,0,0.0,36,0.36,1.6666666666666667,0,0,0,0,0,41.0,85.0,61.0,71.0,82,60,39,456,163
9,-7.000000000000006,200,8000,1,0.25,43,0.43,1.6666666666666667,0,0,0,0,0,56.0,76.0,91.0,75.0,86,71,53,391,199
10,-7.000000000000005,200,8800,1,0.25,31,0.31,3.6666666666666665,0,0,0,0,0,82.0,84.0,82.0,64.0,95,77,67,344,217
11,-8.000000000000005,200,9600,0,0.0,32,0.32,2.1666666666666665,0,0,0,0,0,88.0,84.0,105.0,104.0,82,72,94,314,238
12,-7.000000000000005,200,10400,1,0.25,37,0.37,1.0,0,0,0,0,0,78.0,91.0,65.0,87.0,86,61,70,291,292
13,-7.000000000000005,200,11200,1,0.25,40,0.4,1.5,0,0,0,0,0,71.0,83.0,62.0,77.0,92,58,59,354,237
14,-7.000000000000005,200,12000,1,0.25,43,0.43,1.1666666666666667,0,0,0,0,0,63.0,54.0,52.0,69.0,68,37,43,265,387
15,-7.000000000000005,200,12800,1,0.25,36,0.36,2.0,0,0,0,0,0,62.0,47.0,77.0,47.0,66,41,48,247,398
16,-8.000000000000005,200,13600,0,0.0,44,0.44,1.6666666666666667,0,0,0,0,0,78.0,62.0,70.0,70.0,59,40,63,254,384
17,-7.000000000000005,200,14400,1,0.25,32,0.32,1.1666666666666667,0,0,0,0,0,82.0,66.0,77.0,58.0,67,54,67,227,385
18,-8.000000000000005,200,15200,0,0.0,28,0.28,0.0,0,0,0,0,0,64.0,76.0,90.0,41.0,73,43,57,273,354
19,-7.000000000000005,200,16000,1,0.25,30,0.3,0.5,0,0,0,0,0,47.0,40.0,42.0,60.0,70,26,37,272,395
20,-7.000000000000005,200,16800,1,0.25,30,0.3,1.0,0,0,0,0,0,35.0,62.0,54.0,34.0,59,24,43,237,437
21,-8.000000000000005,200,17600,0,0.0,46,0.46,1.1666666666666667,0,0,0,0,0,48.0,33.0,44.0,50.0,53,27,24,245,451
22,-6.000000000000005,200,18400,2,0.5,38,0.38,0.5,0,0,0,0,0,36.0,33.0,37.0,32.0,62,13,18,218,489
23,-8.000000000000005,200,19200,0,0.0,36,0.36,1.1666666666666667,0,0,0,0,0,52.0,39.0,27.0,38.0,61,25,18,258,438
24,-7.000000000000005,200,20000,1,0.25,30,0.3,1.6666666666666667,0,0,0,0,0,37.0,47.0,38.0,49.0,73,37,22,206,462
